Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,City,Time_taken (min),distance
27.0,5.0,Sandstorms,Jam,1,1.0,0.0,Metropolitian,23,13.829931792649829
24.0,4.7,Windy,Medium,1,0.0,0.0,Metropolitian,20,7.7625474744641085
31.0,4.8,Windy,Low,1,1.0,0.0,Metropolitian,17,12.25659774869038
24.0,4.2,Stormy,Low,0,1.0,0.0,Urban,29,1.520431947999248
37.0,4.2,Sandstorms,High,0,1.0,0.0,Urban,43,6.119692285951988
26.0,4.2,Fog,Jam,2,1.0,0.0,Metropolitian,35,16.601433047701192
25.0,5.0,Cloudy,Low,0,1.0,0.0,Metropolitian,23,20.176811965426136
30.0,4.9,Sunny,Low,2,,0.0,Urban,12,1.532229188735096
37.0,4.3,Windy,Low,0,1.0,0.0,Urban,24,1.554514382186963
23.0,4.6,Stormy,Jam,0,1.0,0.0,Metropolitian,27,10.602450942886511
31.0,4.6,Cloudy,High,1,1.0,0.0,Metropolitian,27,5.958759869151131
30.0,4.7,Stormy,Jam,0,2.0,1.0,Urban,51,13.620519776563466
33.0,4.8,Cloudy,Jam,1,2.0,0.0,Metropolitian,47,20.179033045443173
21.0,4.7,Cloudy,Low,0,0.0,0.0,Urban,15,2.9795405223586338
28.0,4.9,Sandstorms,Medium,2,1.0,0.0,Metropolitian,27,4.469352052738077
22.0,4.9,Fog,Low,0,0.0,0.0,Metropolitian,23,17.077999100718277
29.0,4.8,Sunny,Jam,2,1.0,0.0,Urban,22,16.787830384094683
38.0,4.7,Fog,Jam,0,2.0,0.0,Metropolitian,49,16.85352490584544
25.0,4.6,Windy,Low,2,1.0,0.0,Metropolitian,18,3.0186622920269803
30.0,4.4,Stormy,Jam,1,2.0,0.0,Urban,39,13.78848075238715
23.0,5.0,Sandstorms,Low,0,0.0,0.0,Metropolitian,21,13.972131143083212
32.0,3.5,Cloudy,Low,1,1.0,0.0,Metropolitian,32,16.902609492881677
23.0,4.6,Windy,Low,1,0.0,0.0,Metropolitian,12,1.536836906549953
25.0,4.2,Fog,Jam,1,1.0,0.0,Metropolitian,38,13.61133781432128
26.0,4.7,Sandstorms,Medium,2,1.0,0.0,Metropolitian,28,13.969535082204027
,,Cloudy,Jam,1,1.0,0.0,Metropolitian,32,7.448627554424398
26.0,4.4,Stormy,Low,0,1.0,0.0,Metropolitian,28,1.5367469794092732
26.0,4.9,Cloudy,Low,1,1.0,0.0,Urban,12,1.529622754840466
27.0,4.6,Fog,Jam,1,3.0,0.0,Metropolitian,43,10.64218546208277
36.0,4.9,Cloudy,Medium,1,1.0,0.0,Metropolitian,19,9.219878421275038
26.0,4.4,Sunny,High,0,1.0,0.0,Metropolitian,40,6.117761953594232
36.0,4.1,Fog,Medium,1,1.0,0.0,Metropolitian,37,19.976712110350487
39.0,4.7,Stormy,Jam,2,1.0,0.0,Metropolitian,28,10.90628903651029
26.0,4.4,Cloudy,Jam,1,1.0,0.0,Metropolitian,33,20.18263448829367
22.0,4.7,Sunny,Jam,0,1.0,0.0,Metropolitian,15,13.972191759503003
38.0,4.8,Fog,Low,1,0.0,0.0,Urban,16,9.055525276451307
28.0,4.8,Cloudy,High,1,1.0,0.0,Urban,29,3.073687981631253
27.0,5.0,Sunny,Medium,2,1.0,0.0,Urban,11,20.17918820668875
29.0,4.8,Cloudy,Jam,1,1.0,0.0,Metropolitian,38,12.209907712718548
35.0,4.6,Fog,Medium,1,1.0,0.0,Metropolitian,42,20.180911382710004
32.0,4.6,Sandstorms,High,2,0.0,0.0,Metropolitian,29,6.117219095561937
23.0,4.7,Sandstorms,High,2,1.0,0.0,Metropolitian,28,6.128846407056886
20.0,4.9,Fog,Medium,0,0.0,0.0,Urban,22,6.119039466469951
30.0,4.9,Windy,Low,2,1.0,0.0,Urban,24,3.1089998000385437
34.0,4.9,Windy,Low,1,1.0,0.0,Metropolitian,21,11.983567977945093
24.0,4.2,Windy,Low,0,0.0,0.0,Metropolitian,26,1.554508559519504
25.0,4.5,Stormy,Medium,1,1.0,0.0,Metropolitian,20,5.8741129892048605
26.0,4.3,Sandstorms,Low,0,1.0,0.0,Metropolitian,27,9.314862687658117
39.0,4.9,Windy,Medium,1,0.0,0.0,Metropolitian,29,10.75710880025813
27.0,4.6,Cloudy,Low,0,1.0,0.0,,22,10.587588203123412
36.0,4.9,Stormy,Low,1,1.0,0.0,Metropolitian,26,3.0897366597023
21.0,4.8,Windy,Low,1,0.0,,,11,3.0644638558352577
30.0,4.7,Sunny,Low,2,0.0,,Urban,10,9.31403062822802
21.0,5.0,Windy,Medium,0,1.0,0.0,Urban,24,13.969116967730171
22.0,4.2,Fog,Jam,2,2.0,1.0,Metropolitian,40,19.89050358396721
33.0,4.7,Stormy,Low,2,1.0,0.0,Metropolitian,25,4.610613705052656
36.0,4.5,Windy,Medium,1,1.0,0.0,Urban,22,13.681416111912892
21.0,5.0,Windy,Jam,0,1.0,0.0,Metropolitian,31,19.661310204458477
22.0,4.6,Sandstorms,High,1,0.0,0.0,Urban,20,1.488314549130955
23.0,4.9,Windy,Low,2,0.0,0.0,Metropolitian,16,10.866360907886408
36.0,4.5,Windy,Low,2,0.0,0.0,Urban,23,1.5367158933394087
39.0,4.4,Stormy,Jam,0,1.0,0.0,Metropolitian,43,9.362872174066457
30.0,4.6,Sunny,Medium,1,1.0,0.0,Metropolitian,18,7.546401421474661
39.0,5.0,Sunny,Low,1,0.0,0.0,,15,1.5368293119662575
36.0,5.0,Sandstorms,Jam,2,1.0,0.0,Urban,31,9.32635938574064
27.0,4.7,Sunny,Medium,0,0.0,0.0,Metropolitian,21,6.037605711784208
28.0,5.0,Cloudy,Medium,0,1.0,0.0,Metropolitian,29,4.469157679084987
21.0,4.3,Stormy,Low,0,0.0,0.0,Urban,15,3.104686366912265
20.0,4.8,Cloudy,Low,2,0.0,0.0,Metropolitian,20,10.60245939514964
30.0,4.9,Stormy,Jam,0,1.0,0.0,Urban,36,12.417115998944013
23.0,4.5,Fog,Low,0,0.0,0.0,Metropolitian,18,2.980289542200211
22.0,4.4,Sunny,High,0,2.0,0.0,Metropolitian,52,6.127835452844327
39.0,4.9,Stormy,Jam,1,1.0,0.0,Metropolitian,29,19.76188003558724
34.0,4.7,Stormy,Low,0,0.0,0.0,Metropolitian,22,19.36320422209685
20.0,4.8,Sunny,Medium,2,0.0,0.0,Urban,12,13.82977049957229
31.0,4.8,Cloudy,Medium,1,,0.0,Urban,17,6.127835452844327
38.0,3.7,Fog,Low,2,0.0,0.0,Urban,34,16.9032932130662
39.0,4.6,Fog,Low,1,1.0,0.0,Urban,17,4.610430682715917
32.0,4.7,Windy,Low,0,1.0,0.0,Metropolitian,25,13.830329612968956
27.0,4.8,Windy,Low,2,0.0,0.0,Metropolitian,15,4.610035602260694
38.0,4.6,Cloudy,High,0,0.0,0.0,Metropolitian,26,3.0597099613184358
34.0,4.8,Windy,Jam,1,0.0,0.0,Metropolitian,31,7.6596877195057695
,,Stormy,High,2,1.0,0.0,Urban,15,3.0184094452114865
20.0,4.9,Windy,High,0,0.0,0.0,Metropolitian,24,6.119039466469951
33.0,4.7,Cloudy,Low,2,1.0,0.0,Urban,18,7.5628176900723
20.0,4.8,Fog,Low,1,1.0,0.0,Metropolitian,11,4.610073053799191
27.0,2.5,Sunny,Low,1,0.0,0.0,Metropolitian,39,17.07362495419754
37.0,4.4,Stormy,High,0,1.0,0.0,Semi-Urban,49,6.050551152462876
23.0,4.8,Cloudy,Medium,2,,0.0,Metropolitian,15,6.232179267966144
21.0,4.9,Sunny,Low,2,1.0,0.0,Metropolitian,20,1.4901739564930154
21.0,5.0,Sunny,Low,2,0.0,0.0,Metropolitian,15,4.674172124263269
20.0,4.5,Fog,Low,1,1.0,0.0,Metropolitian,25,10.428102699087152
35.0,4.7,Fog,Jam,1,1.0,0.0,Metropolitian,30,9.180904863919633
35.0,4.9,Fog,Low,2,0.0,0.0,Urban,17,1.5135933675549913
21.0,4.6,Windy,Low,1,1.0,0.0,Urban,19,13.63144919848171
21.0,4.7,Fog,Low,0,1.0,0.0,Metropolitian,18,1.509460397835505
36.0,4.7,Sunny,Low,1,0.0,0.0,Metropolitian,12,1.5125847685793798
36.0,3.8,Fog,Low,1,1.0,0.0,Metropolitian,38,16.153452506169636
23.0,4.7,Sandstorms,Low,2,0.0,0.0,Urban,19,3.0644638558352577
30.0,4.1,Windy,Jam,1,2.0,0.0,Metropolitian,38,19.362541804304527
30.0,3.6,Sandstorms,Medium,1,0.0,0.0,Metropolitian,33,19.97664402115285
30.0,4.9,Sandstorms,Medium,2,1.0,0.0,Metropolitian,26,7.76260023979039
35.0,4.9,Sandstorms,Low,1,1.0,0.0,Urban,25,1.514793721388757
23.0,4.7,Fog,Jam,1,1.0,0.0,Metropolitian,42,12.117044368866695
22.0,4.6,Cloudy,Low,0,1.0,0.0,Metropolitian,22,9.056004306816446
20.0,5.0,Stormy,Medium,2,1.0,0.0,Urban,21,4.560903158461033
30.0,4.2,Stormy,Medium,1,1.0,0.0,Metropolitian,32,6.147415198875052
20.0,4.8,Sunny,Low,2,1.0,0.0,Metropolitian,21,4.658009428704457
28.0,4.7,Stormy,Medium,0,1.0,0.0,Metropolitian,22,10.71119152154572
27.0,4.7,Sunny,Low,0,1.0,0.0,Urban,11,1.536864059415262
30.0,4.5,Sunny,Low,0,1.0,0.0,Urban,28,12.418394742110449
27.0,4.5,Stormy,Jam,1,,0.0,Urban,14,4.560890658020926
33.0,5.0,Stormy,Medium,2,1.0,0.0,,32,4.674280112157379
29.0,4.9,Sunny,Low,0,0.0,0.0,Metropolitian,20,10.586910515510665
20.0,4.9,Stormy,Low,2,1.0,0.0,Metropolitian,16,3.073626731695901
35.0,4.9,Windy,Medium,0,1.0,0.0,Metropolitian,36,12.43559785554022
23.0,4.6,Sandstorms,Medium,1,0.0,0.0,Metropolitian,16,16.634890709262386
35.0,4.7,Stormy,Jam,1,0.0,0.0,Metropolitian,34,9.315745361545886
33.0,4.7,Sandstorms,Jam,0,1.0,0.0,Metropolitian,48,12.419464414087114
31.0,3.5,Stormy,Jam,1,2.0,0.0,Metropolitian,39,10.485823064915822
27.0,5.0,Fog,Medium,2,1.0,0.0,Metropolitian,33,17.098467518755893
21.0,4.7,Stormy,High,2,1.0,0.0,Metropolitian,18,6.146764727341459
28.0,4.9,Stormy,Jam,2,0.0,0.0,Urban,26,12.485127762332828
21.0,4.7,Sunny,Medium,2,1.0,0.0,Metropolitian,16,13.989450296958768
37.0,4.6,Stormy,Medium,2,1.0,0.0,Metropolitian,25,13.970652591255588
31.0,4.4,Stormy,Low,0,1.0,0.0,Metropolitian,26,3.0736184684147863
31.0,4.0,Sandstorms,Jam,0,0.0,0.0,Metropolitian,45,17.076514098174254
33.0,4.7,Windy,Low,1,1.0,0.0,Metropolitian,19,10.707006464770936
38.0,4.8,Sandstorms,Low,0,1.0,0.0,Urban,20,13.972036025783174
21.0,4.9,Windy,Medium,1,1.0,0.0,Metropolitian,20,9.326872529115304
34.0,4.1,Fog,Jam,2,0.0,0.0,Metropolitian,48,17.165842266656078
32.0,4.8,Cloudy,High,2,1.0,0.0,Urban,28,6.210849324534313
35.0,4.8,Cloudy,Jam,0,3.0,0.0,Metropolitian,48,10.564987742503256
21.0,4.5,Sandstorms,Medium,1,0.0,0.0,Metropolitian,15,10.865584127340645
38.0,5.0,Sunny,Low,2,0.0,0.0,Urban,16,3.104632093351238
23.0,4.8,Windy,Low,2,0.0,0.0,Metropolitian,10,4.540862448363
37.0,5.0,Cloudy,Jam,1,0.0,0.0,Metropolitian,45,20.857115324129595
35.0,4.9,Windy,Medium,0,1.0,0.0,Metropolitian,38,7.661373718933812
31.0,4.8,Sunny,Jam,1,1.0,0.0,Metropolitian,22,10.565155904264532
39.0,4.2,Cloudy,Jam,1,0.0,0.0,Urban,48,12.294124530423586
20.0,4.7,Fog,Jam,1,2.0,0.0,Metropolitian,36,16.385802266862793
26.0,4.0,Fog,Medium,2,1.0,0.0,Metropolitian,37,19.76106632827125
32.0,4.1,Windy,Jam,2,1.0,0.0,Metropolitian,33,13.97121661678327
23.0,4.8,Sunny,Low,2,0.0,0.0,Metropolitian,24,8.938093974530164
25.0,4.8,Sunny,Jam,2,1.0,0.0,Metropolitian,24,16.11216585109177
29.0,4.9,Windy,Jam,0,1.0,0.0,Metropolitian,29,4.681855267708646
24.0,4.8,Stormy,Medium,0,0.0,0.0,Metropolitian,22,20.178893713604637
29.0,4.9,Sandstorms,Jam,2,1.0,0.0,Urban,22,13.773737657079298
20.0,4.6,Fog,Low,2,0.0,0.0,Urban,15,9.349055143284817
24.0,4.8,Stormy,Medium,0,0.0,0.0,Metropolitian,23,7.763161028493024
28.0,4.4,Sunny,Jam,0,1.0,0.0,Metropolitian,46,7.562272055565832
38.0,4.6,Windy,Medium,0,0.0,0.0,Metropolitian,49,10.881197531246409
27.0,4.9,Fog,Low,1,0.0,0.0,Urban,12,1.5297989528631668
22.0,4.6,Sunny,Jam,2,1.0,0.0,Urban,17,4.46479590112666
25.0,4.5,Stormy,Low,2,1.0,0.0,Metropolitian,12,3.025344768407918
38.0,4.2,Stormy,Low,0,1.0,0.0,Urban,21,3.1091253358399578
20.0,4.7,Stormy,Jam,2,1.0,0.0,Metropolitian,25,12.074063090452915
34.0,4.7,Cloudy,Medium,2,1.0,0.0,Urban,19,8.92906001215989
32.0,4.1,Windy,Jam,0,0.0,0.0,Urban,31,9.315028811002955
26.0,4.8,Windy,High,2,1.0,0.0,Metropolitian,22,5.874515354538113
24.0,4.7,Sandstorms,Low,0,0.0,0.0,,15,16.600060265890743
20.0,5.0,Sandstorms,Low,2,0.0,0.0,Metropolitian,15,10.485818012040088
26.0,4.7,Stormy,Jam,2,0.0,0.0,Metropolitian,13,9.315071060294844
31.0,4.7,Cloudy,Medium,2,1.0,0.0,Metropolitian,30,19.97462742500737
32.0,4.8,Windy,Medium,2,1.0,0.0,Metropolitian,26,7.772430463816821
34.0,4.5,Windy,Low,0,1.0,0.0,Metropolitian,28,11.916990180554908
27.0,4.9,Sandstorms,Jam,2,0.0,0.0,Urban,26,9.327028546829316
25.0,4.9,Sandstorms,Low,1,0.0,0.0,Metropolitian,17,12.237167878708664
33.0,4.7,Sandstorms,Low,1,0.0,0.0,Metropolitian,22,3.105131477545897
25.0,4.9,Sandstorms,Medium,2,1.0,0.0,Metropolitian,17,20.857115324129595
35.0,4.6,Fog,Low,2,1.0,0.0,Metropolitian,15,1.5526496306637072
37.0,4.2,Stormy,Medium,2,0.0,0.0,Metropolitian,34,6.037448590044755
39.0,4.6,Stormy,Jam,1,1.0,0.0,,25,4.537860442229041
30.0,4.3,Windy,Low,0,0.0,0.0,Urban,22,1.5367917694809952
21.0,4.9,Sunny,Low,0,0.0,0.0,Urban,13,3.0188284633848217
26.0,5.0,Stormy,Jam,0,1.0,0.0,Metropolitian,35,4.470286489434607
26.0,3.9,Sunny,High,0,2.0,0.0,Metropolitian,47,6.12841937845769
30.0,4.7,Sunny,Medium,1,1.0,0.0,Metropolitian,18,5.959266895919677
24.0,4.9,Sandstorms,High,2,0.0,0.0,Metropolitian,22,2.9303450916192486
25.0,4.7,Cloudy,Jam,0,1.0,0.0,,21,4.476862649327415
38.0,4.8,Fog,Jam,2,0.0,0.0,Urban,26,7.601876617115989
24.0,4.9,Cloudy,Jam,0,1.0,0.0,Metropolitian,43,10.563519849475314
24.0,4.8,Stormy,Low,1,0.0,0.0,Metropolitian,15,2.979598701342032
25.0,4.9,Cloudy,Low,1,1.0,0.0,Urban,13,8.937863682516157
37.0,4.9,Sandstorms,Medium,1,1.0,0.0,Metropolitian,28,10.906042243292651
29.0,4.7,Fog,Jam,1,1.0,0.0,Metropolitian,38,17.078706390631634
37.0,4.7,Fog,Low,2,0.0,0.0,Metropolitian,16,3.0186622920269803
24.0,4.8,Sandstorms,Jam,0,0.0,0.0,Metropolitian,28,16.647306920122762
26.0,4.2,Fog,High,1,1.0,0.0,Metropolitian,32,6.058874461145506
30.0,4.7,Cloudy,Low,2,1.0,0.0,Metropolitian,15,8.929090496038414
22.0,4.7,Stormy,Low,2,0.0,0.0,Metropolitian,18,20.206581510507974
21.0,4.7,Sunny,Low,2,0.0,0.0,Metropolitian,19,9.314044064891696
22.0,4.7,Windy,Jam,0,1.0,0.0,Urban,36,10.867473945951692
24.0,4.0,Sandstorms,Low,0,1.0,0.0,Urban,18,1.5125654463644045
33.0,4.8,Windy,Medium,1,0.0,0.0,Metropolitian,27,7.683355299930933
28.0,4.9,Windy,Low,1,0.0,0.0,Metropolitian,12,3.0589506421330555
21.0,4.6,Stormy,Low,2,0.0,0.0,Urban,13,3.073677586371296
24.0,4.8,Stormy,Medium,1,1.0,0.0,Metropolitian,18,10.2550536191279
21.0,4.7,Fog,Low,2,1.0,0.0,Metropolitian,13,1.5525820816228664
34.0,4.7,Cloudy,Medium,0,1.0,0.0,Metropolitian,37,13.406029476290724
20.0,4.4,Fog,Jam,2,1.0,0.0,Metropolitian,32,4.657987774595948
33.0,4.1,Stormy,Jam,1,1.0,0.0,Metropolitian,37,19.76188040923094
22.0,4.1,Stormy,Low,0,0.0,0.0,Urban,19,4.674184358398377
28.0,4.3,Fog,Jam,2,1.0,0.0,Metropolitian,41,10.4332426099541
36.0,4.2,Sunny,Jam,0,1.0,0.0,Metropolitian,34,12.293207925868511
20.0,4.5,Windy,High,2,1.0,0.0,Urban,23,6.0545276744805365
30.0,4.7,Sandstorms,Jam,0,1.0,0.0,Semi-Urban,54,16.901690663165983
24.0,4.5,Sunny,Low,0,1.0,0.0,Urban,19,7.460843441737842
32.0,4.2,Windy,Medium,0,2.0,0.0,Metropolitian,36,19.91558571344329
22.0,5.0,Fog,High,0,1.0,0.0,Metropolitian,25,3.025061641856169
21.0,4.7,Cloudy,Jam,2,0.0,0.0,Metropolitian,34,19.913009545593138
23.0,4.6,Windy,Jam,1,1.0,0.0,Metropolitian,28,10.864870498856764
26.0,4.9,Windy,Jam,2,0.0,0.0,Metropolitian,13,4.537400479091801
28.0,4.0,Cloudy,High,1,1.0,0.0,Metropolitian,34,6.050094908857936
39.0,4.5,Windy,Medium,2,1.0,0.0,Metropolitian,25,9.326561838121483
28.0,4.7,Sunny,High,1,0.0,0.0,Metropolitian,16,5.86057689490914
28.0,4.6,Cloudy,Medium,2,1.0,,Metropolitian,13,9.314976789360625
30.0,4.9,Stormy,Jam,2,1.0,0.0,Metropolitian,27,9.121136119359766
37.0,3.9,Windy,Medium,1,1.0,0.0,Metropolitian,33,10.641581256626232
33.0,5.0,Cloudy,Medium,2,3.0,0.0,Metropolitian,43,10.444390862228436
38.0,4.6,Sunny,Medium,1,1.0,0.0,Metropolitian,22,13.735893137599104
26.0,4.6,Fog,Low,0,1.0,0.0,Metropolitian,21,8.93786088183146
36.0,4.9,Windy,Low,2,0.0,0.0,Metropolitian,20,1.5126978119717678
36.0,4.2,Sandstorms,Low,0,1.0,0.0,Metropolitian,24,3.025345653222032
37.0,4.9,Windy,Low,1,0.0,0.0,Metropolitian,23,3.0184094452114865
31.0,4.7,Stormy,Medium,2,1.0,0.0,Metropolitian,30,7.648080628607945
21.0,4.4,Fog,Jam,2,2.0,0.0,Metropolitian,36,17.078706390631634
29.0,4.8,Cloudy,Low,2,1.0,0.0,Metropolitian,18,1.5322647895213353
37.0,4.5,Cloudy,Low,1,1.0,0.0,Urban,29,12.099122314389794
39.0,4.6,Stormy,Low,1,1.0,0.0,Metropolitian,23,1.53058864856925
33.0,3.7,Fog,Low,1,1.0,0.0,Metropolitian,39,17.097896810816284
38.0,4.7,Stormy,Low,0,1.0,0.0,Metropolitian,23,11.917100051488791
32.0,4.6,Sunny,High,0,1.0,0.0,Metropolitian,27,3.104928771230412
26.0,4.3,Stormy,Low,0,0.0,0.0,Urban,17,3.1214062495331616
22.0,4.7,Fog,High,2,0.0,0.0,Metropolitian,20,6.217824017922212
21.0,5.0,Sandstorms,Low,1,0.0,0.0,Metropolitian,11,1.5147453171152914
36.0,4.6,Cloudy,Medium,1,1.0,0.0,Metropolitian,18,6.037440799484659
25.0,4.5,Sandstorms,Low,1,0.0,0.0,Urban,16,10.427667505405807
39.0,5.0,Cloudy,High,0,1.0,0.0,Urban,33,2.979763497462109
30.0,4.9,Sunny,Medium,0,1.0,0.0,Metropolitian,22,9.314419797615273
34.0,4.8,Sandstorms,Medium,0,1.0,0.0,Metropolitian,32,7.772241719523235
22.0,4.6,Fog,Jam,1,1.0,0.0,Metropolitian,31,12.162428272788048
25.0,4.8,Sandstorms,High,0,1.0,0.0,Metropolitian,26,6.210169290102755
30.0,4.0,Windy,High,1,1.0,0.0,Metropolitian,34,6.118933768642428
26.0,4.7,Sandstorms,Low,1,1.0,0.0,,19,9.179538450826046
30.0,4.7,Sunny,Low,2,1.0,0.0,Metropolitian,23,20.177519993018656
26.0,4.5,Fog,Medium,2,1.0,0.0,Metropolitian,18,9.08144495460351
25.0,4.5,Fog,Medium,0,1.0,0.0,Metropolitian,22,7.448379823536196
27.0,4.6,Sunny,Jam,0,0.0,0.0,Metropolitian,15,10.724517748046024
35.0,4.7,Stormy,Low,1,0.0,0.0,Metropolitian,27,9.348072739621903
20.0,4.9,Stormy,Low,2,0.0,0.0,Metropolitian,12,7.646414103068861
33.0,4.5,Sunny,Jam,1,0.0,0.0,Metropolitian,18,11.916757259074618
31.0,4.8,Sunny,Medium,2,1.0,0.0,Metropolitian,24,7.790439155314363
33.0,4.6,Stormy,Jam,2,1.0,0.0,Metropolitian,25,7.649724402449684
25.0,4.6,Stormy,Medium,0,1.0,0.0,Metropolitian,24,20.181161774852512
38.0,4.8,Cloudy,Low,2,0.0,0.0,Metropolitian,18,7.790122649763986
20.0,4.7,Windy,Low,1,1.0,0.0,Metropolitian,17,1.5525607701091515
34.0,4.9,Stormy,Jam,1,0.0,0.0,Metropolitian,28,13.989852322089256
28.0,4.8,Sunny,Medium,1,0.0,0.0,Metropolitian,15,10.756185975480651
20.0,4.9,Cloudy,Jam,0,0.0,0.0,Metropolitian,22,7.562108717550266
31.0,4.7,Sandstorms,Low,1,0.0,0.0,Urban,28,17.07670421054038
36.0,4.6,Cloudy,Jam,0,1.0,0.0,Metropolitian,54,11.9165950600701
24.0,4.1,Fog,Jam,2,1.0,0.0,Metropolitian,31,19.76009151967568
34.0,4.5,Cloudy,Medium,0,1.0,0.0,Metropolitian,47,13.48135123231739
37.0,4.0,Cloudy,Jam,2,1.0,0.0,Metropolitian,48,12.463861442061557
33.0,4.8,Stormy,Low,1,1.0,0.0,Metropolitian,29,7.683253857182166
24.0,4.6,Stormy,Jam,2,0.0,0.0,Urban,26,19.917359352866207
23.0,4.8,Sandstorms,Medium,2,1.0,0.0,Metropolitian,18,10.8682628201097
27.0,4.9,Windy,Jam,1,1.0,0.0,Metropolitian,26,7.448298968601334
29.0,2.8,Sunny,Low,2,1.0,0.0,Metropolitian,31,14.02247678645099
25.0,5.0,Fog,Low,2,0.0,0.0,Metropolitian,23,19.839448163880707
39.0,4.3,Fog,Medium,2,1.0,0.0,Metropolitian,33,10.4332426099541
36.0,5.0,Fog,Jam,0,1.0,0.0,Metropolitian,50,13.583068670275283
26.0,4.6,Sandstorms,Jam,2,0.0,0.0,Urban,15,10.569514785453704
24.0,4.7,Sandstorms,Jam,0,1.0,0.0,Metropolitian,25,4.561152341209805
34.0,4.9,Sunny,Low,2,1.0,0.0,Metropolitian,28,13.591224800423744
29.0,4.6,Sunny,Jam,1,0.0,0.0,Urban,12,8.953146585642454
33.0,4.8,Cloudy,Low,2,0.0,0.0,Metropolitian,17,3.0736169345596607
34.0,4.9,Stormy,Low,1,0.0,0.0,Metropolitian,27,4.663432201620595
33.0,4.8,Cloudy,High,2,1.0,0.0,Metropolitian,25,5.959019072169318
22.0,4.7,Stormy,Jam,1,0.0,0.0,Metropolitian,22,20.85246332426527
36.0,4.1,Windy,Jam,0,1.0,0.0,Metropolitian,39,7.762499175710356
28.0,4.0,Sandstorms,Medium,0,1.0,0.0,Metropolitian,32,10.5864846162781
39.0,4.8,Sandstorms,Low,1,1.0,0.0,Metropolitian,21,10.642018863256986
24.0,3.8,Sunny,Jam,0,2.0,0.0,Metropolitian,40,4.537922749289298
34.0,4.9,Sunny,Low,2,1.0,0.0,Metropolitian,16,1.5294841760997977
23.0,4.8,Sunny,High,2,1.0,,Urban,14,1.5323511358881128
33.0,4.8,Stormy,High,1,1.0,0.0,Metropolitian,34,1.5580833985948437
34.0,4.6,Fog,Low,1,0.0,0.0,Metropolitian,26,12.1610162189127
20.0,4.9,Stormy,Medium,1,1.0,0.0,Urban,17,10.90637959311372
20.0,4.8,Sandstorms,Low,2,1.0,0.0,Metropolitian,18,9.326872529115304
24.0,4.5,Fog,Medium,0,2.0,0.0,Metropolitian,43,10.705622903496977
33.0,4.7,Sunny,Medium,2,1.0,0.0,Metropolitian,26,10.427235657896496
34.0,4.7,Stormy,Medium,1,1.0,0.0,Metropolitian,33,9.074821802568852
24.0,4.9,Sunny,Medium,1,1.0,0.0,Metropolitian,17,6.209449516823057
29.0,4.9,Sandstorms,Medium,2,1.0,0.0,Metropolitian,23,4.610613705052656
26.0,4.7,Fog,Medium,0,1.0,0.0,Metropolitian,29,4.494279117295131
38.0,4.7,Sandstorms,Medium,0,1.0,0.0,Metropolitian,31,6.037440799484659
36.0,4.9,Windy,Medium,1,1.0,0.0,Metropolitian,27,19.97456846935303
38.0,4.8,Sandstorms,Low,1,0.0,0.0,Metropolitian,25,20.20634606758301
36.0,4.7,Sunny,Medium,0,1.0,0.0,Urban,28,20.96825171119979
33.0,4.9,Fog,Low,1,0.0,0.0,Metropolitian,18,7.562414628937605
30.0,3.8,Stormy,Jam,2,1.0,0.0,Urban,32,19.91612261381972
20.0,5.0,Sandstorms,Low,1,0.0,0.0,Metropolitian,11,3.073626731695901
39.0,5.0,Stormy,Jam,2,1.0,0.0,Metropolitian,29,7.631427658413156
31.0,4.7,Fog,Jam,1,1.0,0.0,Metropolitian,31,7.790125828454116
37.0,5.0,Fog,Jam,1,1.0,0.0,Metropolitian,39,4.656902198106395
28.0,4.9,Windy,High,2,0.0,0.0,Metropolitian,26,3.020360060848624
33.0,4.7,Stormy,Low,1,1.0,0.0,Metropolitian,21,9.348112475389565
36.0,5.0,Sandstorms,Jam,2,1.0,0.0,Metropolitian,28,4.663344843093785
36.0,4.9,Sunny,Jam,1,0.0,0.0,Metropolitian,24,7.772039544673178
33.0,4.6,Sunny,Jam,2,1.0,0.0,Urban,18,7.760928146685042
36.0,4.8,Fog,Medium,1,1.0,0.0,Urban,34,16.47598057072457
21.0,4.8,Sunny,Low,0,0.0,0.0,Urban,21,16.64561685913441
22.0,4.7,Sunny,Low,0,1.0,0.0,Urban,26,19.36321160672078
20.0,5.0,Fog,Jam,0,1.0,0.0,Metropolitian,44,13.830329612968956
24.0,4.8,Stormy,High,1,1.0,0.0,Metropolitian,28,6.128804224238058
31.0,3.5,Sandstorms,Jam,1,1.0,0.0,Metropolitian,40,13.972036025783174
39.0,5.0,Sandstorms,Low,2,1.0,0.0,Metropolitian,26,3.1089836948124367
30.0,4.8,Stormy,Medium,0,1.0,0.0,Metropolitian,25,4.681791331017202
21.0,3.5,Sunny,High,0,2.0,0.0,Metropolitian,42,6.209259882041872
27.0,4.6,Cloudy,High,2,1.0,0.0,Metropolitian,26,6.147160558529004
37.0,5.0,Sandstorms,Medium,0,1.0,0.0,Metropolitian,26,4.596477246826326
22.0,4.9,Cloudy,Medium,2,0.0,0.0,Metropolitian,28,16.388478196037884
22.0,4.8,Stormy,Low,0,0.0,0.0,Urban,17,16.81997876421149
